"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,-1.06400974251902,0.76,0.925,0,"0","NOP53"
0,-1.07376901884128,1,0.996,0,"0","RPL13"
0,-1.08115413552001,0.995,0.991,0,"0","RPS16"
0,-1.08535724552461,0.979,0.991,0,"0","RPL35"
0,-1.09590425868011,0.96,0.983,0,"0","EEF1B2"
0,-1.10455940096228,0.697,0.891,0,"0","HSPA8"
0,-1.12150015803996,0.836,0.954,0,"0","NPM1"
0,-1.13800782723112,0.991,0.993,0,"0","RPL13A"
0,-1.15134680492299,0.999,0.997,0,"0","RPS27A"
0,-1.19576419988039,1,0.996,0,"0","RPS12"
0,-1.21190231976678,0.332,0.703,0,"0","ACAP1"
0,-1.23548047155811,0.981,0.991,0,"0","RPL10A"
0,-1.25425880182094,0.993,0.993,0,"0","RPS6"
0,-1.28903140538338,0.995,0.992,0,"0","RPS25"
0,-1.31038119275567,0.106,0.592,0,"0","ISG20"
0,-1.31779311212182,0.992,0.991,0,"0","RPS21"
0,-1.32885394937025,0.638,0.896,0,"0","AES"
0,-1.33845716560302,0.079,0.577,0,"0","ETS1"
0,-1.37367032549742,0.995,0.994,0,"0","RPS3"
0,-1.41891534185737,0.998,0.994,0,"0","RPS18"
0,-1.42636354925842,0.991,0.992,0,"0","RPL23A"
0,-1.45559313466228,0.988,0.993,0,"0","RPL3"
0,-1.46182705988306,0.064,0.55,0,"0","LCK"
0,-1.47296697188259,0.967,0.988,0,"0","RPS5"
0,-1.5203044879863,0.162,0.609,0,"0","ARL4C"
0,-1.52233524199968,0.994,0.995,0,"0","RPS19"
0,-1.72105524354205,1,0.997,0,"0","RPS27"
0,-1.8171627246144,0.248,0.811,0,"0","EVL"
0,-1.81766138061957,0.989,0.992,0,"0","RPS29"
0,-1.84837471582973,0.945,0.99,0,"0","RPSA"
0,-1.86985919926437,0.089,0.587,0,"0","CD3E"
0,-1.89324568976349,0.084,0.594,0,"0","TRBC2"
